Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Чувашская Республика                               ;460 ;№ 615;Республика Марий Эл, Звениговский муниципальный район, Кокшамарское сельское поселение, территория Майами, 1;56,17463;47,470748;Магазин;"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Зарядная станция для электромобилей (ЭЗС)
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Услуга заправщика (в дневное время)";49.1 руб.;53.6 руб.;59.5 руб.;61.3 руб.;;;;0 руб.;;;;;;;;;;;
Чувашская Республика                               ;460 ;№ 689;Республика Татарстан, Кайбицкий муниципальный район, Большекайбицкое сельское поселение, территория Федеральная автомобильная дорога М-12 Москва-Нижний Новгород-Казань, км 723+100, д.2;55,407853;48,154575;"Кафе GreenLight
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (круглосуточно)";50.2 руб.;55.75 руб.;62 руб.;63.35 руб.;50.6 руб.;68.15 руб.;;;;;;;;;;;;;
Чувашская Республика                               ;460 ;№ 690;Республика Татарстан, Кайбицкий муниципальный район, Большекайбицкое сельское поселение, территория Федеральная автомобильная дорога М-12 Москва-Нижний Новгород-Казань,  км 723+100, д.1;55,409005;48,158943;"Кафе GreenLight
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (круглосуточно)";50.2 руб.;55.75 руб.;62 руб.;63.35 руб.;50.6 руб.;68.15 руб.;;;;;;;;;;;;;
Владимирская область                              ;457 ;№ 682;Владимирская область, муниципальный район Судогодский, сельское поселение Муромцевское, территория Автомагистраль Москва-Нижний Новгород-Казань, километр 140-й, земельный участок 1;55,861984;40,821674;"Кафе GreenLight
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Комната матери и ребёнка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.39 руб.;55.79 руб.;60.89 руб.;62.79 руб.;;;;;67.09 руб.;;;;;;;;;;
Владимирская область                              ;457 ;№ 683;Владимирская область, муниципальный район Судогодский, сельское поселение Муромцевское, территория Автомагистраль Москва-Нижний Новгород-Казань, километр 140-й, земельный участок 2;55,859623;40,821266;"Кафе GreenLight
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (круглосуточно)";50.39 руб.;55.79 руб.;60.89 руб.;62.79 руб.;;;;;67.09 руб.;;;;;;;;;;
Нижегородская область;457 ;№ 599;г. Нижний Новгород, Молодежный проспект, 29 В;56,244068;43,824869;"Кафетерий
Магазин";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";51.39 руб.;55.39 руб.;60.69 руб.;62.29 руб.;;;;;;;;;;;;;;;
Нижегородская область;457 ;№ 675;Нижегородская область, г. Дзержинск, проспект Ленина, сооружение 112;56,24072;43,50425;Магазин;"Выпечка
Кофе
Терминал оплаты
Туалет";50.79 руб.;54.99 руб.;60.79 руб.;62.39 руб.;;;;;67.99 руб.;;;;;;;;;;
Нижегородская область;457 ;№ 676;Нижегородская область, г. Саров, ул Варламовская дорога, д. 5а;54,920445;43,325976;Магазин;Кофе;51.09 руб.;55.29 руб.;61.39 руб.;;;;;;;;;;;;;;;;
Нижегородская область;457 ;№ 677;Нижегородская область, г. Саров, ул. Димитрова, д. 2;54,92493;43,31823;Магазин;"Автотовары
Кофе
Напитки
Терминал оплаты
Туалет";51.09 руб.;55.29 руб.;61.39 руб.;62.89 руб.;;;;;;;;;;;;;;;
Москва;450 ;№ 696;Московская обл., Одинцовский р-н, 11 км Рублево-Успенского шоссе, пос. Усово- Тупик, строен.21;55,733899;37,223864;"Автомойка
Кафе
Магазин
Стоянка";"Автомойка
Автотовары
Выпечка
Зарядная станция для электромобилей (ЭЗС)
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";51.59 руб.;58.79 руб.;;63.69 руб.;;;;;71.19 руб.;;;;;;;;;;
Москва;450 ;№ 2022 (АЗС-партнер);г. Москва, 74 км МКАД, влад.4;55,876121;37,42452;"Автомойка
Магазин";"WI-FI
Выпечка
Кофе
Напитки
Туалет
Услуга заправщика (круглосуточно)";56 руб.;61 руб.;68.6 руб.;69.6 руб.;;;;;;62 руб.;;;;;;;;;
Москва;450 ;№ 2076;Нижегородская улица, вл. 27, соор. 3;55,737083;37,69607;Магазин;;50.29 руб.;55.29 руб.;61.99 руб.;;;;;;;;;;;;;;;;
Москва;450 ;№ 2092;МКАД, 90-й километр, вл6, Москва;55,893621;37,672576;"Кафе
Магазин";"Автотовары
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол";49.59 руб.;55.09 руб.;62.59 руб.;63.99 руб.;;;;;;56.59 руб.;;;;;;;;;
Московская область;451 ;№ 46;Московская  область, г. Зеленоград, пр-д 687-й Проектируемый ,д.1;55,96320949;37,18221903;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Пылесос
Терминал оплаты
Туалет";49.89 руб.;55.59 руб.;61.89 руб.;63.59 руб.;;;;;;;;;;;;;;;
