Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Архангельская область;431 ;№ 313;Архангельская область, г. Северодвинск, ул. Первомайская, 2;64,57255;39,84664;Магазин;"Автокафе
Кофе
Наличные с покупкой
Напитки
Туалет
Услуга заправщика (в дневное время)";50.89 руб.;55.59 руб.;65.49 руб.;;;;;;;;;;;;;;;;
Архангельская область;431 ;№ 573;Архангельская область, г. Архангельск, проспект Дзержинского, 12;64,554209;40,568574;;"Автотовары
Наличные с покупкой
Напитки
Услуга заправщика (в дневное время)";50.99 руб.;55.69 руб.;65.49 руб.;;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 375;Волгоградская область, г. Волгоград, ул. Гражданская, 24К;48,508566;44,540727;"Автомойка
Магазин";"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.99 руб.;56.69 руб.;61.69 руб.;63.59 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 409;Волгоградская обл, г. Волжский, п. Металлург, ул. Двинская, 16;48,733197;44,832818;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 410;Волгоградская область, г. Волжский, ул. Александрова, 2Б;48,767953;44,790243;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 411;Волгоградская область, Ленинский район, с. Заплавное, ул. Гагарина, 9;48,717042;45,006656;;"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 412;Волгоградская область, г. Волжский, ул. Александрова, 38 А;48,778659;44,814317;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 413;Волгоградская область, г. Волжский, ул. Александрова, 54В;48,788578;44,833118;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 414;Волгоградская область,г .Волжский, ул. 6-я автодорога, д. 14;48,817;44,7799;Магазин;"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Волгоградская область;459 ;№ 415;Волгоградская область., г. Волжский, ул. Заволжская, 23;48,876006;44,811217;Магазин;"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет";50.69 руб.;56.49 руб.;61.39 руб.;63.29 руб.;;;;;;;;;;;;;;;
Кемеровская область;;№ 360;Кемеровская область, г. Кемерово, ул. Терешковой, 37Б;55,33574;86,140477;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.9 руб.;52.9 руб.;64.25 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 361;Кемеровская область, г. Кемерово, ул. Красноармейская, 37;55,3558;86,0513;"Кафе GreenLight
Магазин
Стоянка";"Выпечка
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.9 руб.;52.4 руб.;64.15 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 362;Кемеровская область, г. Кемерово, пр. Кузнецкий, 146;55,332534;86,062823;;"Терминал оплаты
Услуга заправщика (в дневное время)";48.35 руб.;52.4 руб.;;;;;;;;;;;;;;;;;
Кемеровская область;;№ 367;Кемеровская область, г. Полысаево, ул. Крупской, 152;54,615235;86,269304;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Услуга заправщика (в дневное время)";48.8 руб.;52.75 руб.;64.25 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 382;Кемеровская область, г. Кемерово, бульвар им. академика Л. С. Барбараша, зд. 8а;55,391462;86,12472;;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Услуга заправщика (в дневное время)";48.65 руб.;52.75 руб.;64.15 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 404;Кемеровская область, г. Междуреченск, Ольжерасская автобаза, 16а;53,706485;88,0071009;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.9 руб.;52.75 руб.;64.15 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 417;Кемеровская область, г. Прокопьевск, ул. Гагарина, 2;53,872937;86,659748;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.9 руб.;52.75 руб.;64.25 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 445;Кемеровская область, г. Киселевск, ул. Краснокаменская, 4;54,004633;86,575603;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.8 руб.;52.75 руб.;64.15 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 461;Кемеровская область, г. Прокопьевск, ул. Пионерская, 74;53,835547;86,795591;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.8 руб.;52.65 руб.;64.15 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 462;Кемеровская область, г. Киселевск, ул. Транспортная, 39А;54,008316;86,642617;Магазин;"Терминал оплаты
Туалет";48.8 руб.;52.8 руб.;64.25 руб.;;;;;;;;;;;;;;;;
Кемеровская область;;№ 463;Кемеровская область, г. Белово, ул. Аэродромная, 1А;54,459908;86,31828;Магазин;"Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.8 руб.;52.65 руб.;64.25 руб.;;;;;;;;;;;;;;;;
г. Чистополь, Чистопольский район;;№ 416;Республика Татарстан, г. Чистополь, ул. Энгельса, 198;55,3609;50,5706;"Кафетерий
Магазин";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;25 руб.;;;;;;;;;;;;
г. Чистополь, Чистопольский район;;№ 543;Республика Татарстан, г. Чистополь, ул. Валиева, 27е;55,3479;50,6629;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;;25 руб.;;;;;;;;;;;;
Ярославская область;451 ;№ 419;Ярославская область, Первомайский район, д.Холм, д. 5А, М8, 375 км, справа;58,53650383;40,35487281;"Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.79 руб.;52.59 руб.;61.79 руб.;63.49 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 431;Ярославская обл., г. Ярославль, ул. Полушкина Роща, д. 9 стр.3;57,650842;39,875154;"Кафетерий
Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.39 руб.;52.59 руб.;62.09 руб.;63.79 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 432;Ярославская область, Ярославский район, с.Лучинское, 25А.;57,552997;39,859865;"Кафетерий
Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.49 руб.;52.89 руб.;61.79 руб.;63.49 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 433;Ярославская область, Ярославский район, д.Кузнечиха, Рижский съезд, 4;57,696745;39,901434;"Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.09 руб.;52.89 руб.;61.79 руб.;63.49 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 438;Ярославская область, Ярославский район, д. Карабиха, ул.Новомосковская, 1;57,499444;39,783243;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.19 руб.;52.59 руб.;61.39 руб.;63.09 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 439;Ярославская область, Ярославский район, д.Карабиха, ул.Новомосковская, 2;57,499471;39,786844;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта
Шиномонтаж";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.19 руб.;52.59 руб.;61.39 руб.;63.09 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 454;Ярославская область, г. Рыбинск, проспект Генерала Батова, 46.;58,025283;38,863666;"Автомойка
Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.79 руб.;52.79 руб.;62.49 руб.;64.19 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 455;Ярославская область, г. Рыбинск, Ярославский тракт, 80а;58,03532686;38,88846944;"Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Наличные с покупкой
Услуга заправщика (в дневное время)";49.79 руб.;52.79 руб.;62.49 руб.;64.19 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 456;Ярославская область, Ярославский район, д.Кузнечиха, ул.Луговая,12;57,67106778;39,94401598;"Кафетерий
Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";48.99 руб.;52.89 руб.;62.29 руб.;63.99 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 457;Ярославская область, г. Ярославль, ул.Осташинская, д 16;57,66616919;39,77432712;"Кафетерий
Магазин";"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.49 руб.;52.59 руб.;61.79 руб.;63.49 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 479;Ярославская область,  Первомайский район, д. Холм, стр. 2, М8, 375 км, слева;58,536445;40,351718;"Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.79 руб.;52.59 руб.;61.79 руб.;63.49 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 480;Ярославская область, Ярославский район, п. Ивановский Перевоз, Юго-Западная окружная дорога, 1;57,64066;39,748407;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.59 руб.;52.59 руб.;62.19 руб.;63.89 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 481;Ярославская обл., Ростовский р-н, Никольский с/о, д. Теханово, д. 202;57,045691;39,291199;"Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.89 руб.;52.59 руб.;61.59 руб.;63.29 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 482;Ярославская обл., Ростовский р-н, с/п Петровское, д. Теханово, д. 201;57,0476;39,2945;"Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автокафе
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.89 руб.;52.59 руб.;61.19 руб.;62.89 руб.;;;;;;;;;;;;;;;
Ярославская область;451 ;№ 570;Ярославская область, Ярославский район, п. Ивняки, Юго-западная окружная а/д, 47;57,6576;39,7541;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.39 руб.;52.59 руб.;62.19 руб.;63.89 руб.;;;29.99 руб.;;67.19 руб.;;;;;22.29 руб.;;;;;
Ярославская область;451 ;№ 607;Ярославская область, г. Ярославль, проспект Фрунзе, 21;57,588578;39,904099;"Автомойка
Магазин
Стоянка";"Автотовары
Кофе
Мойка самообслуживания
Наличные с покупкой
Напитки
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.39 руб.;52.59 руб.;62.19 руб.;63.89 руб.;;;;;;;;;;;;;;;
Пензенская область;457 ;№ 421;Пензенская область, г. Кузнецк, Алексеевское шоссе, 3К.;53,092122;46,569719;"Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.99 руб.;53.89 руб.;61.99 руб.;63.69 руб.;;;26.49 руб.;;;;;;;;;;;;
Пензенская область;457 ;№ 441;Пензенская область, Мокшанский район, с.Плесс, ул.Совхозная, 18.;53,472787;44,453324;"Магазин
Стоянка";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;53.99 руб.;61.79 руб.;63.49 руб.;;;26.49 руб.;;;;;;;;;;;;
Пензенская область;457 ;№ 442;Пензенская область, Кузнецкий район, с. Махалино, ул.Куйбышевская, 732 км+704м а/д  М5 справа;53,089834;46,289198;"Магазин
Стоянка";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;53.89 руб.;61.79 руб.;63.49 руб.;;;26.49 руб.;;;;;;;;;;;;
Пензенская область;457 ;№ 443;Пензенская область, р-н Кузнецкий, с Махалино, ул. Куйбышевская,732 км+704 м  а/д М5 слева;53,091587;46,28903;"Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;53.89 руб.;61.79 руб.;63.49 руб.;;;26.49 руб.;;;;;;;;;;;;
Пензенская область;457 ;№ 458;Пензенская область, г. Пенза, ул. Рябова, д 1К;53,128386;44,994853;"Магазин
Стоянка";"Автотовары
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;53.89 руб.;61.99 руб.;63.69 руб.;;;26.99 руб.;;;;;;;;;;;;
Пензенская область;457 ;№ 483;Пензенская область, г Пенза, Железнодорожный район, ул. Ушакова, д. 60;53,218144;45,18989715;Магазин;"Автотовары
Кофе
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;53.89 руб.;61.99 руб.;63.69 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 119;Челябинская область, г. Челябинск, Свердловский тракт, 1Б/1;55,235508;61,366645;"Кафетерий
Магазин";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет";47.65 руб.;52.6 руб.;61.55 руб.;62.9 руб.;;66.7 руб.;;;;;;;;;;;;;
Челябинская область;;№ 120;Челябинская область, г. Челябинск, Свердловский тракт, 6/1;55,235097;61,363545;"Кафетерий
Магазин";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет";47.65 руб.;52.6 руб.;61.55 руб.;62.9 руб.;;66.7 руб.;;;;;;;;;;;;;
Челябинская область;;№ 121;Челябинская область, г. Челябинск, Уфимский тракт, 122/4;55,06778;61,323552;Магазин;"Автотовары
Выпечка
Кофе
Напитки
Туалет";48.25 руб.;52.5 руб.;61.55 руб.;62.45 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 122;Челябинская область, Сосновский район, г. Коркино, А310, 35 км, слева;54,907614;61,32586;Магазин;"Автотовары
Кофе
Напитки
Туалет";48.15 руб.;52.5 руб.;61.55 руб.;62.8 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 123;Челябинская область, Сосновский район,  г. Коркино. А310, 35 км, справа;54,905378;61,321699;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Напитки
Туалет";48.15 руб.;52.5 руб.;61.55 руб.;62.8 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 485;Челябинская область, г.Челябинск, Новоградский проспект, 64/1;55,178769;61,26131;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Напитки
Туалет";47.8 руб.;51.6 руб.;;62.35 руб.;;66.7 руб.;18.1 руб.;;;;;;;;;;;;
Челябинская область;;№ 505;Челябинская область, г. Челябинск, Копейское шоссе, 19/2;55,124959;61,492152;;;45.65 руб.;51.4 руб.;;62.95 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 515;Челябинская область, Красноармейский район, Р254, 30 км, слева;55,253078;61,806414;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Напитки
Туалет";48.15 руб.;52.5 руб.;61.55 руб.;62.75 руб.;;66.4 руб.;18.1 руб.;;;;;;;;;;;;
Челябинская область;;№ 516;Челябинская область, Красноармейский район, Р254, 30 км, справа;55,252182;61,807039;"Кафетерий
Магазин";"Автотовары
Банкомат
Выпечка
Кофе
Напитки
Туалет";48.15 руб.;52.5 руб.;61.55 руб.;62.75 руб.;;66.4 руб.;18.1 руб.;;;;;;;;;;;;
Челябинская область;;№ 523;Челябинская область, г. Челябинск, Копейское шоссе, 38Е;55,1299;61,477162;Магазин;"Автотовары
Кофе
Напитки";47.95 руб.;52.5 руб.;;63.1 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 541;Челябинская область,г.Снежинск, ул. В.З.Нечая, 1Б;56,072824;60,741287;;;48.05 руб.;52 руб.;;61.5 руб.;;;;;;;;;;;;;;;
Челябинская область;;№ 562;Челябинская область, г. Челябинск, Курчатовский район, ул. Бейвеля, 9/1;55,198454;61,279043;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет";47.35 руб.;52.2 руб.;;63.1 руб.;;67.8 руб.;;;;;;;;;;;;;
Свердловская область;;№ 266;Свердловская область, г.Екатеринбург, Сибирский тракт дублер, 10;56,824091;60,692919;;Напитки;49.35 руб.;;61.55 руб.;63.45 руб.;;;;;;;;;;;;;;;
Свердловская область;;№ 325;Свердловская область, г.Екатеринбург, Октябрьский район, ул Ткачей,15;56,817481;60,634424;"Кафетерий
Магазин";"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет";50.55 руб.;53.85 руб.;;64.9 руб.;;67.1 руб.;;;;;;;;;;;;;
Тюлячинский район;;№ 449;Республика Татарстан, Тюлячинский район, с.Тюлячи, Мадамышский тракт;55,885124;50,246889;Магазин;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;;25 руб.;;;;;;;;;;;;
Республика Беларусь;;№ 1;Брестская область, Барановичский район, г. Барановичи, ул. Кирова, 79а;53,15373;26,033663;"Автомойка
Кафе
Магазин";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;1.15 белор. руб.;;;;;;;;;;;;
Республика Беларусь;;№ 2;Витебская область, Докшицкий район, д. Бабцы, трасса М3, 111 км, справа;54,7635;28,138184;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 3;Витебская область, Лиозненский район, трасса Е95, 118 км, справа;54,9102;30,376957;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 4;Витебская область, Лиозненский район, траса Е95, 118 км, слева;54,910378;30,37474;;;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 5;Брестская область, Барановичский район, трасса Е30, 249 км, справа;53,298267;26,37052;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 6;Витебская область, г. Орша, ул. Дубровенская, 40;54,507248;30,451195;"Кафе
Магазин";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;1.15 белор. руб.;;;;;;;;;;;;
Республика Беларусь;;№ 7;Витебская область, Оршанский район, трасса Е95, 183 км, справа;54,34903;30,446749;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 8;Витебская область, Толочинский район, трасса Е30, 548 км, справа;54,503582;30,10374;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 9;Гомельская область, г. Гомель, ул. Барыкина, 329;52,42809;30,899857;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;1.15 белор. руб.;;;;;;;;;;;;
Республика Беларусь;;№ 10;Гомельская область, г. Гомель, ул. Междугородняя, 1А;52,415237;30,92686;"Кафе
Магазин";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;1.15 белор. руб.;;;;;;;;;;;;
Республика Беларусь;;№ 11;Минская область, Несвижский район,трасса Е30, 258 км, слева;53,35638;26,46666;"Кафе
Магазин";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 12;Минская область, Несвижский район, трасса Р12, 6км, справа;53,200657;26,69137;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 13;Брестская область, Кобринский район, д. Пески, трасса Е30, 49 км, справа;52,189598;24,233864;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 14;Брестская область, г. Брест, ул. Радужная, 28;52,122845;23,70373;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 15;Витебская область, Браславский район, д. Крюки, трасса Р3, слева;55,682632;26,907454;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 16;Витебская область, Полоцкий район, д. Коллективная;55,538548;28,713894;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 17;Брестская область, г. Брест, ул. Катин Бор, 56;52,139385;23,638577;"Кафе
Магазин
Стоянка";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Республика Беларусь;;№ 18;Гродненская область, Островецкий район, трасса Р-45, 222-й км, 1;54,721577;25,760086;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";Туалет;2.27 белор. руб.;2.37 белор. руб.;2.37 белор. руб.;;;;;;;;;;;;;;;;
Воронежская область;;№ 496;"Воронежская область, Новоусманский район, М4, 534 км а/д ""Дон"", слева";51,558775;39,488842;"Кафе
Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта
Шиномонтаж";"WI-FI
Автотовары
Выпечка
Детский игровой уголок
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";51.79 руб.;55.99 руб.;58.59 руб.;60.79 руб.;;;27.99 руб.;;67.99 руб.;;;;;;;;;;
